en;ru;kk;translation_key;output_channel
keyColumns=translation_key;actionType=modify
Opened;Открытый;Открытый;ps_Active;W
Letter to organization;Письмо в организацию;Письмо в организацию;letter_to;W
Mailing to the organizations;Рассылка группе организаций;Рассылка группе организаций;letter_distribution;W
Transactions;Денежные операции;Денежные операции;navigation_transactions;W
Payments and transactions;Платежи и переводы;Платежи и переводы;navigation_transactions_person;W
Accounts and cards;Счета и карты;Счета и карты;navigation_products;W
Name;Наименование;Наименование;intTransfer_payerName;W
BIN/IIN;БИН/ИИН;БИН/ИИН;intTransfer_payerCode;W
